2020-01-22 13:20:26,"b""#UnitedAirlines:   People Reportedly Finds Note Written by RealityTV Personality's Property, Official Says"""
2020-01-22 11:30:15,"b'United Airlines increases profit on more revenue, cheaper fuel https://t.co/zlpN16dh58\n\n#UnitedAirlines #aviation #airplane'"
2020-01-22 09:26:02,"b'Whew! At #ChicagoOHareAirport Tuesday, two passengers were removed from a #UnitedAirlines flight from #Shanghai bec\xe2\x80\xa6 https://t.co/Z2kGqfnjGW'"
2020-01-22 09:21:48,b'United Airlines profits surge nearly 40% on cheaper fuel and strong demand #UnitedAirlines #Airlines #Travel #Stocks https://t.co/A9gxpTe3Eu'
2020-01-22 09:05:00,b'Rabbit flies in her own business-class seat* || #Rabbit #Japan #UnitedStates #SanFrancisco #UnitedAirlines https://t.co/ladZCdgzLg'
2020-01-22 08:57:37,"b'@UnitedAirlines Yes, it did. However this latest ploy to get customers to pay extra is insane. So now I have to arr\xe2\x80\xa6 https://t.co/g0G6z9Wx1o'"
2020-01-22 08:06:45,"b'#UnitedAirlines  I just can\xe2\x80\x99t let this go, I should\xe2\x80\x99ve started at the beginning I\xe2\x80\x99m a disabled vet and I called cus\xe2\x80\xa6 https://t.co/th02qaJfy2'"
2020-01-22 08:00:45,b'#UnitedAirlines now holds your boarding oass hostage unless you pay the bag fees. Unacceptable. https://t.co/o7pSeVvj22'
2020-01-22 07:57:46,b'#UnitedAirlines landing and #FlySAA taking off at #CapeTownInternational https://t.co/gKLfeelsKS'
2020-01-22 04:04:03,b'United Airlines : Investor Update #UnitedAirlines #Stock #MarketScreener https://t.co/sZfxeArKMJ https://t.co/jZ9g1stB2Z'
2020-01-22 04:00:07,"b'""United Airlines announced the launch of a new hourly shuttle service between New Jersey\xe2\x80\x99s Newark Liberty Internati\xe2\x80\xa6 https://t.co/w75JPkvzhr'"
2020-01-22 03:05:00,b'Rabbit flies in her own business-class seat || #Rabbit #Japan #UnitedStates #SanFrancisco #UnitedAirlines https://t.co/ladZCcYYmG'
2020-01-22 02:08:40,b'Gotta love the view. #airtravel #unitedairlines #work https://t.co/x0xgYm3g8z'
2020-01-22 01:07:31,b'I have never seen a more defective operation than the one #unitedAIRLINES uses for b concourse in Houston'
2020-01-22 01:06:16,b'@united now charges for carry-on bags. Good grief. I can upgrade to a level that includes a carry-on for just under\xe2\x80\xa6 https://t.co/ft9LQooIrZ'
